date,nav,cash
2023-05-09,990945.7280217345,292.14660052748513
2023-05-10,972828.271811233,292.14660052748513
2023-05-11,968674.8652511605,292.14660052748513
2023-05-12,959510.4460730053,292.14660052748513
2023-05-15,966558.3650790488,292.14660052748513
2023-05-16,963047.8651927428,292.14660052748513
2023-05-17,958631.9154858837,292.14660052748513
2023-05-18,962167.3964913853,292.14660052748513
2023-05-19,955692.0301715295,292.14660052748513
2023-05-22,958294.614864181,292.14660052748513
2023-05-23,944492.9126132482,292.14660052748513
2023-05-24,928965.8433716028,292.14660052748513
2023-05-25,927320.5888562608,292.14660052748513
2023-05-26,928029.0097278428,292.14660052748513
2023-05-29,932025.6275883336,292.14660052748513
2023-05-30,928334.2730001553,292.14660052748513
2023-05-31,925193.8136772313,292.14660052748513
2023-06-01,918447.888073783,292.14660052748513
2023-06-02,923339.9388185308,275.17628568274085
2023-06-05,925350.704218155,275.17628568274085
2023-06-06,919339.4274541517,275.17628568274085
2023-06-07,923252.7566902603,275.17628568274085
2023-06-08,933916.9036195115,275.17628568274085
2023-06-09,933857.0947382997,275.17628568274085
2023-06-12,930147.2402928931,275.17628568274085
2023-06-13,931434.7533091169,275.17628568274085
2023-06-14,930855.0393994406,275.17628568274085
2023-06-15,938086.302623436,275.17628568274085
2023-06-16,941660.9831128672,275.17628568274085
2023-06-19,936160.2923512488,275.17628568274085
2023-06-20,930416.9191298309,275.17628568274085
2023-06-21,927163.7282623313,275.17628568274085
2023-06-26,914716.8270343475,275.17628568274085
2023-06-27,923842.686966114,275.17628568274085
2023-06-28,925685.9443576823,275.17628568274085
2023-06-29,920765.8140060888,275.17628568274085
2023-06-30,926064.3457499982,275.17628568274085
2023-07-03,939238.6217782188,275.17628568274085
2023-07-04,938071.0835833722,281.4053907895286
2023-07-05,938675.9908301951,281.4053907895286
2023-07-06,932649.4464449607,281.4053907895286
2023-07-07,937045.9390748866,281.4053907895286
2023-07-10,936381.0319211779,281.4053907895286
2023-07-11,939355.2018422228,281.4053907895286
2023-07-12,934828.4006934997,281.4053907895286
2023-07-13,942121.602846212,281.4053907895286
2023-07-14,943124.3260943035,281.4053907895286
2023-07-17,941720.6250242685,281.4053907895286
2023-07-18,942366.8148657244,281.4053907895286
2023-07-19,943765.1392583771,281.4053907895286
2023-07-20,938656.6196660013,281.4053907895286
2023-07-21,940277.5574931699,281.4053907895286
2023-07-24,939658.2511240232,281.4053907895286
2023-07-25,957715.6575085788,281.4053907895286
2023-07-26,955109.426778598,281.4053907895286
2023-07-27,956376.7977967155,281.4053907895286
2023-07-28,977352.4118503683,281.4053907895286
2023-07-31,983114.6262357762,281.4053907895286
2023-08-01,980838.7920781015,281.4053907895286
2023-08-02,975401.4409458288,293.869220242952
2023-08-03,979839.6022230624,293.869220242952
2023-08-04,978912.8567339497,293.869220242952
2023-08-07,975026.8740133442,293.869220242952
2023-08-08,973264.1851833502,293.869220242952
2023-08-09,970598.2783488212,293.869220242952
2023-08-10,978382.9729182331,293.869220242952
2023-08-11,961491.249490448,293.869220242952
2023-08-14,957480.8790144757,293.869220242952
2023-08-15,960310.323316869,293.869220242952
2023-08-16,956780.6294796884,293.869220242952
2023-08-17,956894.5250047396,293.869220242952
2023-08-18,951992.3373150186,293.869220242952
2023-08-21,935521.3865963591,293.869220242952
2023-08-22,938852.5625977538,293.869220242952
2023-08-23,930507.828114454,293.869220242952
2023-08-24,930493.8146602415,293.869220242952
2023-08-25,932840.5830199189,293.869220242952
2023-08-28,940701.3109510969,293.869220242952
2023-08-29,939265.9326855787,293.869220242952
2023-08-30,930509.1889566706,293.869220242952
2023-08-31,925729.857892441,293.869220242952
2023-09-01,934480.9031020039,293.869220242952
2023-09-04,947532.8787639079,279.97993798719835
2023-09-05,942567.9967753281,279.97993798719835
2023-09-06,936050.3275102249,279.97993798719835
2023-09-07,932879.9608198042,279.97993798719835
2023-09-08,930659.1295955208,279.97993798719835
2023-09-11,935265.9015593886,279.97993798719835
2023-09-12,934809.9367706235,279.97993798719835
2023-09-13,932725.9621644185,279.97993798719835
2023-09-14,935953.15708754,279.97993798719835
2023-09-15,931469.3724486877,279.97993798719835
2023-09-18,930771.1067167955,279.97993798719835
2023-09-19,933895.8566880319,279.97993798719835
2023-09-20,930842.9653623695,279.97993798719835
2023-09-21,925893.7929490362,279.97993798719835
2023-09-22,933857.1334367266,279.97993798719835
2023-09-25,928766.2948516819,279.97993798719835
2023-09-26,924569.8225698499,279.97993798719835
2023-09-27,924295.002684877,279.97993798719835
2023-09-28,922007.3833614202,279.97993798719835
2023-10-09,916062.4257338785,279.97993798719835
2023-10-10,908632.7451765632,274.46157256601145
2023-10-11,906144.453181791,274.46157256601145
2023-10-12,913788.8176567536,274.46157256601145
2023-10-13,908973.377142269,274.46157256601145
2023-10-16,905611.9234901165,274.46157256601145
2023-10-17,909521.8324774136,274.46157256601145
2023-10-18,902386.0114811028,274.46157256601145
2023-10-19,887440.5510724057,274.46157256601145
2023-10-20,885245.0042826771,274.46157256601145
2023-10-23,877020.5044324258,274.46157256601145
2023-10-24,882078.2367558222,274.46157256601145
2023-10-25,893547.0514846343,274.46157256601145
2023-10-26,896881.8129858766,274.46157256601145
2023-10-27,904915.4036006549,274.46157256601145
2023-10-30,901184.2850902807,274.46157256601145
2023-10-31,901096.0608475175,274.46157256601145
2023-11-01,899798.5553868823,274.46157256601145
2023-11-02,898940.3562295034,269.5887522191624
2023-11-03,898825.119314901,269.5887522191624
2023-11-06,903553.8653554068,269.5887522191624
2023-11-07,901633.6525160692,269.5887522191624
2023-11-08,897709.5025685265,269.5887522191624
2023-11-09,898861.9384716104,269.5887522191624
2023-11-10,895587.4623043591,269.5887522191624
2023-11-13,898376.4400284659,269.5887522191624
2023-11-14,898636.9308248705,269.5887522191624
2023-11-15,902454.9538877396,269.5887522191624
2023-11-16,899627.9429131395,269.5887522191624
2023-11-17,898514.7981466843,269.5887522191624
2023-11-20,901999.0781025004,269.5887522191624
2023-11-21,904672.5771865054,269.5887522191624
2023-11-22,900638.2229147345,269.5887522191624
